dormant,in a state of inactivity but awaiting development
alleviate,make (pain) easier to bear
equilibrium,state of being balanced
arrogance,proud; superior manner of behaviour
constrict,make tight or smaller
tonic,something giving strength or energy
adorn,add beauty; decorate
dexterity,skill (esp. in handling)
knit,draw together; unite firmly
edify,instruct; correct morally
enzyme,catalyst
retrospective,Looking back on past
divergence,getting farther apart from a point
sequence,succession connected line of
satiate,satisfy fully
yeoman,man owning small estate; middle-class farmer
moribund,in a dying state; near death
extralegal,outside the law
enigma,something that is puzzling
pilferer,to steal, especially in small quantities"
shallow,little depth; not earnest
reiterate,say or do again several times
encapsulate,enclose in capsule
pluck,pull the feathers off pick (e.g.. flowers)
partisan,one-sided committed to a party biased or prejudiced
cumbersome,burdensome; heavy and awkward to carry
flop,fail/move/fall clumsily
clot,half-solid lump formed from liquid
cryptic,secret with a hidden meaning
coagulation,change to a thick and solid state
philanthropist,one who loves mankind
abhor,to hate; to detest
gallant,brave,behaves well with women"
offhand,Without preparation or forethought
implosion,collapse; bursting inward
ambiguous,doubtful; uncertain
ail,to cause pain, uneasiness, or trouble to."
vivacious,lively high-spirited
dullard,a stupid, insensitive person"
parenthesis,sentence within another one something separated
poseur,a person who attempts to impress by acting unlike himself
cordial,warm and sincere
liberality,free giving; generosity
redeem,get back by payment compensate
steeply,rising or falling sharply
catalyst,substance that causes speeding up
chortle,loud chuckle of pleasure or amusement
gait,a manner of walking, stepping, or running"
reconcile,settle a quarrel restore peace
retrograde,receding
ascend,go or come up
flimsy,lacking solidarity, strength"
conjoin,to join together
dupe,cheat make a fool of
fragrant,sweet-smelling
implicit,implied though; not plainly expressed
aggravate,make worse; irritate
braggart,boastful
disallow,refuse to allow or accept as a correct
meticulous,giving great attention to details
writ,written order
antidote,medicine used against a poison or a disease
reminiscent,suggest something in the past
derivative,unoriginal; obtained from another source
ossified,turned to bone; hardened like bone; Inflexible
legacy,Bequest or inheritance
yarn,tale story fibers for knitting
drowsiness,feeling sleepy half asleep
ingest,take in by swallowing
grievous,causing grief or pain; serious dire grave
perish,be destroyed decay
ambivalent,having both of two contrary meanings
centurion,leader of a unit of 100 soldiers
concur,agree in opinion happen together
abstruse,difficult to comprehend; obscure
boisterous,noisy; restraint
infuriate,fill with fury or rage
Lambaste,attack verbally
extinguish,end the existence of/wipe or put out
sawdust,tiny bits of wood
mischievous,harmful; causing mischief
scribble,write hastily
invincible,too strong to be defeated
lampoon,publicly mock or ridicule
apartheid,brutal racial discrimination
volatile,changeable inconstant fickle unstable explosive
connoisseur,a person with good judgement (e.g.. in art)
limp,lacking strength; walking unevenly
suffocate,cause or have difficulty in breathing
dangle,hand or swing loosely
suffice,be enough
stray,wander lose one's way
hypocrisy,falsely making oneself appear to be good
curriculum,course of study
plea,request
turbulence,being uncontrollably violent
evoke,call up bring out
indulgent,inclined to indulge
negligent,taking too little care
malevolent,malicious; evil; having or showing ill will
chisel,steel tool for shaping materials
stride,walk with long steps
repel,refuse to accept/cause dislike
euphoria,elation state of pleasant excitement
shunned,avoided, kept away from"
massacre,cruel killing of a large number of people
fragile,easily injured broken or destroyed
solvent,of the power of forming a solution
moderation,quality of being limited; not extreme
presentiment,anticipatory fear; premonition
arcane,known or understood by very few
ambidextrous,able to use the left hand or the right equally well
connote,Suggest or imply in addition to the precise, literal meaning"
hospitable,liking to give hospitality
inclined,directing the mind in a certain direction
renowned,celebrated; famous
malleable,yielding easily shaped; moldable; adapting
conceal,hide keep secret
anguish,severe suffering
extinct,no longer active
endeavor,to make an effort, to try very hard"
sluggard,lazy slow-moving person
sheath,cover for the blade of a weapon or a tool
edible,fit to be eaten/not poisonous
patron,regular customer person who gives support
grumble,to complain
impermeable,that cannot be permeated
skit,short piece of humorous writing
gerontocracy,government ruled by old people
abide,be faithful; to endure
gullible,easily gulled
elaborate,worked out with much care in great detail
precursors,a person or thing that precedes, as in a process or job."
brass,yellow metal (mixing copper and zinc)
garrulous,too talkative
sporadic,happening from time to time
riddle,puzzling person or thing
erratic,irregular in behaviour or opinion
dislodge,move force from the place occupied
entice,attract, lure"
amalgamate,mix; combine; unite societies
adulteration,making unpure; poorer in quality
clientele,customers
livid,Furiously angry, enraged"
permeate,spread into every part of
eulogy,formal praise panegyric
scent,smell (especially pleasant)
endorse,write one's name on the back of
alloy,to debase by mixing with something inferior
mite,A very small amount, portion, or particle"
predominate,have more power than others
jabber,talk excitedly; utter rapidly
misanthrope,person who hates mankind
treacherous,not to be trusted, perfidious"
foster,nurture; care for
indigenous,native
correlate,have a mutual relation
immutable,that cannot be changed
relapse,fall back again
renovate,restore something to better condition
colloquial,involving or using conversation.
tadpole,form of a frog when it leaves the egg
evasive,tending to evade
enduring,lasting
engulf,swallow up
perjury,willful FALSE statement unlawful act
embezzle,use in a wrong way for one's own benefit
salvage,the saving of property from loss
fidelity,loyalty accuracy
sobriety,quality or condition of being sober
agile,active; quick-moving
dwarf,person much smaller the usual size
bogus,sham; counterfeit; not genuine
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
allegiance,duty support loyalty
judicious,sound in judgment; wise
nihilism,total rejection of all religious and moral beliefs
acumen,Keen, quick, accurate insight or judgment"
recuperate,become strong after illness loss exhaustion
beguile,mislead or delude; cheat; pass time
opaqueness,dullness/not allowing light to pass through
asterisk,the mark * (e.g.. omitted letters)
accolade,praise; approval
affable,polite and friendly
narcissism,Self-love
appease,make quiet or calm
benefactor,person who has given help
impromptu,without preparation
indistinct,not easily heard; seen clearly marked
ameliorate,improve; make better
fission,splitting or division (esp. of cells)
loll,rest to sit or stand in a lazy way hang (dog's tongue)
submerge,put under water liquid sink out of sight
premature,doing or happening something before the right time
abysmal,extreme bad
pertain,belong as a part have reference
disrobe,undress
forgery,counterfeit
woo,try to win
introvert,one who turns towards himself
surcharge,additional load/charge
impede,hinder; get in the way of
refine,make or become pure cultural
recitals,a number of performance of music
complaisant,trying to please; obliging
sanity,health of mind soundness of judgment
torque,twisting force causing rotation
odor,smell
aberration,straying away from what is normal
fleet,number of ships; quick-moving
resuscitation,coming back to consciousness
